Gate_voltage,Temperature,riseTime,millerTime,Vge_plateau,max_dVge,max_dIdt,fallTime,Vce_overshoot,E_on,E_off,Vge_max,HealthState
15,40,1.04e-06,8e-08,10.8875044874243,573678787.656558,121083757.046329,1.63e-06,0.0158802828061084,0.0181788225534981,0.0190129543478131,16.0554848956579,Fault
15,50,9.2e-07,6e-08,11.010845485986,584096084.998857,204850721.653392,6.2e-07,0.0260161730615209,0.0162815759859275,0.0059526194886617,16.0003737259129,Healthy
15,50,1.02e-06,7e-08,10.9439954811243,578490817.560084,161316110.197195,8.9e-07,0.0232908586921781,0.014429442806809,0.0095726624625065,16.0410090840802,Warning
15,50,1.05e-06,8e-08,10.8875046180732,573678782.719178,122967306.08317,1.64e-06,0.0159013401575976,0.0158893594615523,0.0198473477048038,16.0488525345575,Fault
15,60,9.2e-07,6e-08,11.0108435804446,584095891.759014,207276142.815149,6.20000000000001e-07,0.0261996093016137,0.0137534819054151,0.0060973002297103,15.9874498350432,Healthy
15,60,1.02e-06,8e-08,10.9439927698103,578491119.917955,163539983.047784,9.10000000000001e-07,0.0233765383418358,0.0119689482770285,0.0105262838710713,16.0323509444818,Warning
15,60,1.06e-06,8e-08,10.8875044847742,573678787.727143,124884612.598069,1.66e-06,0.0158896261422683,0.0138995910327298,0.0208061042196706,16.044628821097,Fault
15,70,9.2e-07,6e-08,11.0108436755824,584095901.056903,209758049.117758,6.30000000000001e-07,0.0263390666633541,0.0112043349053601,0.0067885163743943,15.9773359319201,Healthy
15,70,1.03e-06,7e-08,10.9439954827468,578490817.50528,165827205.501548,9.20000000000001e-07,0.0234137197879249,0.0104249004703407,0.0111414646454856,16.0213636519862,Warning
15,70,1.07e-06,8e-08,10.8875042801561,573678797.26048,126866350.437147,1.68e-06,0.0158496029548587,0.0116575982534937,0.0224660338406858,16.0334915539578,Fault
15,80,9.2e-07,6e-08,11.01084479222,584096013.701081,212323503.107089,6.4e-07,0.0264155665268504,0.0095940474356973,0.0072099632533119,15.9642026776921,Warning
15,80,1.03e-06,7e-08,10.9439954808522,578490817.533117,168208684.410543,9.3e-07,0.0234113068682973,0.0094735703525923,0.0117585261351411,16.0073627731097,Warning
15,80,1.08e-06,8e-08,10.8875045556428,573678784.93843,128943465.558037,1.69e-06,0.0157863932439,0.0110300309231302,0.0229208652488847,16.0288206925153,Fault
15,90,9.2e-07,6e-08,11.0108445901626,584095993.215632,214912226.380014,6.5e-07,0.0264348042604752,0.008771218680798,0.0076400716656601,15.9493212077652,Warning
15,90,1e-06,7e-08,10.9439954756083,578490817.61862,170630043.621092,9.20000000000001e-07,0.0233894416365388,0.0096787097409585,0.0115708646476441,15.9643476708522,Warning
15,90,1.07e-06,8e-08,10.8875045347872,573678785.718698,131063206.268609,1.7e-06,0.0157315822562509,0.010463768504351,0.0235576143743414,15.9944571638657,Fault
20,100,7.5e-07,3e-08,18.2271424863619,778699348.179719,394482215.888368,6.7e-07,0.0259682448678973,0.0077935096599885,0.0093933107823682,20.3695741853642,Warning
20,100,8.5e-07,4e-08,17.86809097068,771314819.836053,308476424.80491,9.40000000000001e-07,0.0225596648697319,0.008973836236449,0.0138749770623091,20.37758077523,Warning
20,100,9.2e-07,5e-08,17.5920876614124,764901670.772826,238896057.470595,1.71e-06,0.0140252751806997,0.0101595536802968,0.0275407303170822,20.373192044108,Fault
20,110,7.5e-07,3e-08,18.1882969003551,778695829.536021,398956967.279834,6.6e-07,0.0259557410369098,0.0078876730362343,0.0092869642995666,20.355916118377,Warning
20,110,8.4e-07,4e-08,17.8292280365675,771314725.221118,312413387.543346,9.4e-07,0.0225453748414566,0.0090189805335196,0.0138439713165172,20.3631228964433,Warning
20,110,9.2e-07,5e-08,17.5534620979468,764901650.978009,242274333.782176,1.71e-06,0.013978539238849,0.01012116308721,0.0276353368792389,20.3578795322776,Fault
20,120,7.4e-07,3e-08,18.1454078678997,778693325.491001,403539804.309369,6.6e-07,0.025951399410701,0.0079661177394455,0.0091970416810122,20.3422898355481,Warning
20,120,8.4e-07,4e-08,17.7903261650221,771314962.62583,316493912.18784,9.4e-07,0.0225141141064569,0.0090440949604785,0.0138306829880032,20.3486758885004,Warning
20,120,9.1e-07,5e-08,17.5148030909047,764901650.524218,245782600.279398,1.71e-06,0.0139336481907435,0.0100617572478257,0.0277527815392039,20.342571301044,Fault
20,130,7.4e-07,3e-08,18.0713033708111,778690310.059859,408186513.755222,6.6e-07,0.0259290830161945,0.0080456948277112,0.0091123296215348,20.3289736913782,Fault
20,130,8.3e-07,4e-08,17.721010780926,771314514.093169,320619194.775854,9.4e-07,0.0224973418178251,0.0090647204329193,0.0138231955047901,20.3345373698802,Fault
20,130,9.1e-07,5e-08,17.4762619883701,764901672.219764,249352956.418432,1.71e-06,0.0138869417925207,0.0099941409603802,0.0278754558772223,20.3275850957473,Fault
20,140,7.4e-07,4e-08,18.0643449366507,778686518.251912,412914596.900223,6.7e-07,0.0259159085878764,0.0074832263095769,0.0096625274640371,20.3157006789984,Fault
20,140,8.3e-07,3e-08,17.6822109785968,771314736.455604,324890015.782515,9.4e-07,0.0224798845087548,0.009064238888557,0.0138327888315286,20.3204226016499,Fault
20,140,9.1e-07,5e-08,17.3829705683525,764901664.620655,253065150.257387,1.71e-06,0.0138389886074037,0.0099003051152636,0.0280296258608032,20.3126158751374,Fault
20,150,7.3e-07,3e-08,18.054323650664,778682898.54857,417703626.789221,6.7e-07,0.0258993349521575,0.0075387193628453,0.009594047968532,20.3027137076808,Fault
20,150,8.3e-07,3e-08,17.6435090148601,771314609.870247,329226783.174025,9.4e-07,0.0224491135996914,0.0090540201799451,0.0138505370855093,20.3065934410521,Fault
20,150,9.1e-07,5e-08,17.3447140318499,764901634.337641,256840328.865375,1.71e-06,0.0137897071364819,0.009797638396607,0.0281894958114453,20.2979424617444,Fault
20,20,7.8e-07,2e-08,18.5109867666425,778716780.149079,361498791.550223,6.6e-07,0.0260568948383479,0.0086392512097207,0.0086408101985636,20.4863047256609,Healthy
20,20,8.8e-07,4e-08,18.2170925376035,771315401.044117,280007324.652452,9.4e-07,0.0227284809640196,0.0090400646061645,0.0137670904508515,20.5002729780582,Warning
20,20,9.5e-07,5e-08,17.937866289365,764901656.436586,214815934.982915,1.71e-06,0.0143496034033888,0.010117717280309,0.0271809614696034,20.5028786278923,Fault
20,30,7.8e-07,2e-08,18.4761406821364,778714825.897908,365385400.344847,6.6e-07,0.0260464476461379,0.0081848535726844,0.0090840356170251,20.470874825459,Healthy
20,30,8.7e-07,4e-08,18.177858455251,771315338.600253,283296592.137076,9.4e-07,0.0227072559431463,0.009131294956107,0.0136772499447269,20.4841457072568,Warning
20,30,9.5e-07,5e-08,17.925480836811,764901633.08011,217577322.4971,1.71e-06,0.0143099295527236,0.0101512704344511,0.0271971103613463,20.4858577634251,Fault
20,40,7.7e-07,2e-08,18.4374141494957,778712633.907354,369273150.196121,6.6e-07,0.0260376430390465,0.0083261292890791,0.0089341100746107,20.4559126020443,Healthy
20,40,8.7e-07,4e-08,18.1023126265019,771315622.00145,286617908.726348,9.4e-07,0.0226889489471205,0.0092408609395721,0.0135846026416762,20.4684805131496,Warning
20,40,9.4e-07,5e-08,17.8553905860365,764901668.083211,220364489.845072,1.71e-06,0.0142736165194606,0.0101894843600349,0.0272089626779333,20.4693179095776,Fault
20,50,7.7e-07,9.99999999999996e-09,18.3935791067198,778711154.108346,373306156.719584,6.60000000000001e-07,0.0260259429013558,0.0084440964684266,0.0087994903082966,20.4409228549384,Healthy
20,50,8.7e-07,4e-08,18.0588685790053,771315215.419357,290077544.905656,9.4e-07,0.0226708978791521,0.0093320154013918,0.0135090015502869,20.4527568179929,Warning
20,50,9.4e-07,5e-08,17.8162368641958,764901638.340654,223271667.735846,1.71e-06,0.0142322445465197,0.0102054314887231,0.0272422298156944,20.4527055408652,Fault
20,60,7.7e-07,3e-08,18.3876244320984,778708840.839291,377355434.380803,6.60000000000001e-07,0.0260154377483559,0.0079713291338963,0.0092599517867146,20.4263536623847,Healthy
20,60,8.6e-07,4e-08,18.019970370492,771315486.064209,293565115.069931,9.3e-07,0.0226522575078434,0.0094038333732784,0.0134324510035567,20.4374551440184,Warning
20,60,9.4e-07,5e-08,17.7772757011942,764901658.678009,226207524.938278,1.71e-06,0.0141916594888016,0.010222281860778,0.0272767891788625,20.4365327853598,Fault
