riseTime,millerTime,Vge_plateau,max_dVge,max_dIdt,fallTime,Vce_overshoot,Vge_max,Eon_mean,Eoff_mean,Esw_mean,Esw_max,dEsw_dIc,tOn_mean,tOff_mean,tOff_max,t_ratio,Vce_50A,Vce_100A,Vce_275A,Vce_550A,Vce_1200A,Vce_2500A,Vce_3400A,Ic_1_5V,Ic_2_5V,Ic_4V,Ic_6V,Ic_8V,Ic_10V,mean_dIdV,max_dIdV,area_IV,mean_Ic_highV,HealthState
6.50E-07,1.10E-07,11.97291798,462794836.5,105605596,8.10E-07,0.01800059,12.7452768,0.000375077,0.001002667,0.001377745,0.002407318,9.86E-05,2.24E-07,7.42E-07,9.10E-07,3.3125,1.309728766,1.529237097,2.193088953,3.245253584,7.265833178,10,10,92.75402353,357.4333483,727.9441513,1083.252626,1223.259758,1241.779083,122.9937322,269.7293001,7722.080924,1233.021049,Fault
5.90E-07,1.40E-07,11.94152522,458944501.8,79330715.1,1.50E-06,0.012766502,12.69828231,0.000375077,0.001002667,0.001377745,0.002407318,9.86E-05,2.24E-07,7.42E-07,9.10E-07,3.3125,1.309728766,1.529237097,2.193088953,3.245253584,7.265833178,10,10,92.75402353,357.4333483,727.9441513,1083.252626,1223.259758,1241.779083,122.9937322,269.7293001,7722.080924,1233.021049,Fault
6.50E-07,9.00E-08,11.97713103,467281693.8,135022454,5.70E-07,0.020281041,12.74818069,0.000380423,0.001005403,0.001385826,0.002418942,9.92E-05,2.32E-07,7.50E-07,9.40E-07,3.232758621,1.319205192,1.543234266,2.219273215,3.290594233,7.374179774,10,10,89.54773456,349.1108844,714.9023634,1070.853551,1222.817441,1242.101923,123.0263783,264.9598635,7657.227719,1233.212363,Fault
6.60E-07,1.10E-07,11.97273782,462794836.5,107629652.3,8.10E-07,0.018368738,12.74395677,0.000380423,0.001005403,0.001385826,0.002418942,9.92E-05,2.32E-07,7.50E-07,9.40E-07,3.232758621,1.319205192,1.543234266,2.219273215,3.290594233,7.374179774,10,10,89.54773456,349.1108844,714.9023634,1070.853551,1222.817441,1242.101923,123.0263783,264.9598635,7657.227719,1233.212363,Fault
6.10E-07,1.40E-07,11.94143022,458944528.7,80022479.65,1.50E-06,0.013027957,12.70427391,0.000380423,0.001005403,0.001385826,0.002418942,9.92E-05,2.32E-07,7.50E-07,9.40E-07,3.232758621,1.319205192,1.543234266,2.219273215,3.290594233,7.374179774,10,10,89.54773456,349.1108844,714.9023634,1070.853551,1222.817441,1242.101923,123.0263783,264.9598635,7657.227719,1233.212363,Fault
5.10E-07,1.00E-07,11.97702799,467281655.8,111956295.2,5.70E-07,0.016473419,12.75702958,0.000316538,0.000978903,0.001295442,0.002228171,9.13E-05,1.88E-07,6.78E-07,6.80E-07,3.606382979,1.187639859,1.360400609,1.889872563,2.728319555,8.160060204,10,10,144.4193711,477.4764186,901.4255156,1181.28337,1198.829782,1213.255689,120.1595354,337.5017111,8343.310394,1206.438898,Healthy
4.80E-07,1.30E-07,11.97276016,462794836.8,86121804.23,8.10E-07,0.014787822,12.70902397,0.000316538,0.000978903,0.001295442,0.002228171,9.13E-05,1.88E-07,6.78E-07,6.80E-07,3.606382979,1.187639859,1.360400609,1.889872563,2.728319555,8.160060204,10,10,144.4193711,477.4764186,901.4255156,1181.28337,1198.829782,1213.255689,120.1595354,337.5017111,8343.310394,1206.438898,Healthy
4.10E-07,1.50E-07,11.94573376,458944521.2,70907322.05,1.50E-06,0.010500164,12.61677226,0.000316538,0.000978903,0.001295442,0.002228171,9.13E-05,1.88E-07,6.78E-07,6.80E-07,3.606382979,1.187639859,1.360400609,1.889872563,2.728319555,8.160060204,10,10,144.4193711,477.4764186,901.4255156,1181.28337,1198.829782,1213.255689,120.1595354,337.5017111,8343.310394,1206.438898,Healthy
5.20E-07,1.00E-07,11.97709759,467281649.6,113480831.8,5.70E-07,0.016694085,12.75674839,0.000319803,0.000983367,0.00130317,0.002250572,9.21E-05,1.88E-07,6.82E-07,6.90E-07,3.627659574,1.198940409,1.374555815,1.914371717,2.769299695,7.598077975,10,10,139.0312242,465.9363853,886.0870151,1180.482646,1203.032559,1217.859649,120.6163594,331.1494137,8306.883276,1210.852776,Healthy
5.00E-07,1.20E-07,11.97283389,462794466.1,87470009.4,8.10E-07,0.014998595,12.71800294,0.000319803,0.000983367,0.00130317,0.002250572,9.21E-05,1.88E-07,6.82E-07,6.90E-07,3.627659574,1.198940409,1.374555815,1.914371717,2.769299695,7.598077975,10,10,139.0312242,465.9363853,886.0870151,1180.482646,1203.032559,1217.859649,120.6163594,331.1494137,8306.883276,1210.852776,Healthy
